Participant Key;Group;Familiarity Level;Task 1 Performance %;Task 1 Time;Task 2 Score;Task 2 Time;Task 3 Score;Task 3 Time;Task 1 Mental Demand;Task 1 Temporal Demand;Task 1 Perceived Perf.;Task 1 Effort;Task 1 Frustration;Task 2 Mental Demand;Task 2 Temporal Demand;Task 2 Perceived Perf.;Task 2 Effort;Task 2 Frustration;Task 3 Mental Demand;Task 3 Temporal Demand;Task 3 Perceived Perf.;Task 3 Effort;Task 3 Frustration
fe6c;B;Basic;0,61;25;0;12;0;12;6;5;4;5;3;6;5;3;4;4;6;5;5;5;4
67c3;B;None;0,14;25;0;12;0;12;3;6;6;5;4;5;7;7;6;7;5;7;4;6;5
0078;A;None;0,65;25;0;12;1;12;4;4;3;4;3;3;2;4;3;2;4;3;5;4;4
1d20;A;Moderate;0,85;24,5;1;12;1;7;6;5;2;5;1;6;7;2;6;1;4;2;1;2;1
33c6;A;Advanced;0,88;25;1;9;1;12;4;5;1;3;1;4;2;2;2;1;5;5;3;5;2
49f7;B;Basic;0,80;24;0;12;1;12;6;5;2;6;5;7;6;5;6;7;7;7;5;6;5
536e;A;None;0,26;25;0;12;0;12;4;4;3;4;2;6;6;2;6;5;6;6;2;6;6
5694;B;None;0,43;25;0;12;0;12;6;7;6;5;5;5;7;6;5;7;5;6;6;6;6
bdb6;B;Advanced;0,75;17;0;9,5;0;10;3;2;6;4;2;6;5;3;4;3;6;5;3;5;4
bdf7;A;Basic;0,21;25;1;9;0;5;5;6;3;3;5;3;3;4;3;2;2;2;4;3;2
18e7;A;Advanced;0,69;24,5;#N/A;#N/A;#N/A;#N/A;4;4;2;2;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
e43c;B;Moderate;0,67;22,5;1;9;0;7;7;5;3;5;7;7;7;4;7;6;5;4;1;5;3
